timestamp,producto,product_id,estacion,duracion_min,espera_min,intento_numero,estado_calidad
2025-01-02 08:00:00,Cónico,cc9b8a85-93ce-45fe-b76d-b23a0786e018,Corte Material,4,0,1,APROBADO
2025-01-02 08:02:00,Cónico,42655ba2-b079-4e5f-a4fe-9fe9dfd80d76,Corte Material,4,2,1,APROBADO
2025-01-02 08:04:00,Cónico,be2bf208-4839-45f0-8885-89bc59b485eb,Corte Material,5,4,1,APROBADO
2025-01-02 08:07:00,Cónico,1dc7842a-8d67-443e-be38-a7c3509c0a56,Corte Material,4,7,1,APROBADO
2025-01-02 08:09:00,Cónico,7cabcc78-7426-4e6a-a2d5-052fb9adbe71,Corte Material,4,9,1,APROBADO
2025-01-02 08:11:00,Cónico,b51da27d-5e45-4a28-bfc6-078abdf2f71e,Corte Material,4,11,1,RECHAZADO
2025-01-02 08:13:00,Cónico,9afcb483-cbfb-4fd7-9aab-390067b73915,Corte Material,4,13,1,APROBADO
2025-01-02 08:15:00,Cónico,5a23304f-72a4-4d49-9a3e-9ddc9ff638ac,Corte Material,4,15,1,APROBADO
2025-01-02 08:17:00,Cónico,4c38f17a-e1b0-4c80-b7c8-82794ba774f3,Corte Material,4,17,1,APROBADO
2025-01-02 08:19:00,Cónico,6bb7205a-d868-4f60-96d4-17499e134a5a,Corte Material,5,19,1,APROBADO
2025-01-02 08:06:00,Cónico,42655ba2-b079-4e5f-a4fe-9fe9dfd80d76,Mecanizado Rueda,19,0,1,APROBADO
2025-01-02 08:22:00,Cónico,6dd46d74-50df-4bf3-a219-79cad8a4bc0d,Corte Material,4,22,1,APROBADO
2025-01-02 08:04:00,Cónico,cc9b8a85-93ce-45fe-b76d-b23a0786e018,Mecanizado Rueda,23,0,1,APROBADO
2025-01-02 08:24:00,Cónico,90acdf55-fbdb-4a93-b8ff-3b7f43512ff7,Corte Material,3,24,1,APROBADO
2025-01-02 08:09:00,Cónico,be2bf208-4839-45f0-8885-89bc59b485eb,Mecanizado Rueda,19,0,1,APROBADO
2025-01-02 08:25:00,Cónico,76134346-1eaf-49c8-8ee9-9e565f2b4c6b,Corte Material,4,25,1,APROBADO
2025-01-02 08:27:00,Cónico,9093cc5b-60d0-4b24-8e1f-2d021b58c65f,Corte Material,4,27,1,APROBADO
2025-01-02 08:29:00,Cónico,22c081d4-a2a0-4127-afc0-969cd56ba313,Corte Material,4,29,1,APROBADO
2025-01-02 08:31:00,Cónico,8e9ef5c9-d881-402c-8417-a731bb0389f9,Corte Material,4,31,1,APROBADO
2025-01-02 08:33:00,Cónico,e3b10c8e-a03c-4a5d-8b60-802225933cc3,Corte Material,4,33,1,APROBADO
2025-01-02 08:23:00,Cónico,1dc7842a-8d67-443e-be38-a7c3509c0a56,Mecanizado Rueda,15,12,1,APROBADO
2025-01-02 08:25:00,Cónico,7cabcc78-7426-4e6a-a2d5-052fb9adbe71,Mecanizado Rueda,13,12,1,RECHAZADO
2025-01-02 08:35:00,Cónico,6a6ed088-1ccc-4fdd-8cbf-a53c72cd8a20,Corte Material,4,35,1,APROBADO
2025-01-02 08:37:00,Cónico,9a6b9c2f-06e1-485f-936c-7906f5cfa54c,Corte Material,4,37,1,APROBADO
2025-01-02 08:39:00,Cónico,34a54c32-7fa7-4c80-b810-e8f7d914f35a,Corte Material,4,39,1,APROBADO
2025-01-02 08:41:00,Cónico,abd9ee88-515c-4538-9440-61a16b6440dc,Corte Material,4,41,1,APROBADO
2025-01-02 08:26:00,Cónico,9afcb483-cbfb-4fd7-9aab-390067b73915,Mecanizado Rueda,20,9,1,APROBADO
